Twinmax//None//Turn on TwinMax by pressing the switch located on the left side of the device.;
Twinmax//None//You can choose your baseline cylinder with button 1 and 3.;
Twinmax//None//Then validate with button 2.;
Twinmax//None//You can restart TwinMax with button 4.;
Twinmax//None//If TwinMax is in sleep mode, you can use button 4 to awaken it.;

Title;
Application//None//Afin de communiquer avec le module, appareillez votre téléphone ou tablette avec le module dans les paramètres bluetooth. Le code d'appairage est "1234".;
Application//None//Afin d'obtenir les courbes de dépressions des carburateurs, appuyez sur l'icône Bluetooth présent en haut à droite de l'application.;
Application//None//Sélectionnez le bluetooth TwinMax présent dans la liste. Une fois connecté, vous visualisez les courbes de dépressions.;
Application//None//Vous pouvez désactiver certaines courbes en décochant leurs cases associées.;
Application//None//Trois boutons sont également présents sur l'interface: Pause/Redémarrage de l'acquisition -  Mise à l'échelle automatique - Enregistrement de l'acquisition.;
Application//None//L'enregistrement d'une acquisition requiert de renseigner une moto. Si la moto n'a pas encore été créé, un assistant de création vous sera proposé.;*
Application//None//L'onglet Historique permet de retrouver les acquisitions enregistrées précédemment. Ces acquisitions sont reliées à une moto.;
Application//None//En appuyant sur le bouton "+", vous pouvez créer une nouvelle moto en renseignant un nom et une photo.;
